article_doi,data_id
10.1039/c1cc10427f,10.5517/ccvlq37
10.1039/c5cc02945g,10.5517/cc14jfrv
10.1039/c5cc02945g,10.5517/cc14jfsw
10.1021/om020258t,10.5517/cc5y2hn
10.1021/om020258t,10.5517/cc5y2jp
10.1039/c5nj00761e,10.5517/cc14g0vg
10.1039/c5nj00761e,10.5517/cc14g0sd
10.1039/c5nj00761e,10.5517/cc14g0n8
10.1039/c5nj00761e,10.5517/cc14g0rc
10.1039/c5nj00761e,10.5517/cc14g0p9
10.1039/c5nj00761e,10.5517/cc14g0m7
10.1039/c5nj00761e,10.5517/cc14g0tf
10.1039/c5nj00761e,10.5517/cc14g0qb
10.1002/anie.201612249,10.5517/ccdc.csd.cc1mfhcx
10.1140/epjc/s2003-01262-9,10.17182/hepdata.46480
10.1140/epjc/s2003-01262-9,10.17182/hepdata.45812.v1
10.1140/epjc/s2003-01262-9,10.17182/hepdata.46480.v1
10.1140/epjc/s2003-01262-9,10.17182/hepdata.45812
10.1006/jssc.2001.9161,10.5517/cc5zh5s
10.1006/jssc.2001.9161,10.5517/cc5zh4r
10.1006/jssc.2001.9161,10.5517/cc5zh6t
10.1021/om5003107,10.5517/cc1262ly
10.1021/om5003107,10.5517/cc1262kx
10.1186/s13059-015-0825-8,10.6084/m9.figshare.c.3631952
10.1186/s13223-016-0152-y,10.6084/m9.figshare.c.3627629
10.1039/c4sc00666f,10.5517/cc121rgb
10.1039/c4sc00666f,10.5517/cc121rhc
10.1021/om400463r,10.5517/cc120bfv
10.1021/om400463r,10.5517/cc120bkz
10.1021/om400463r,10.5517/cc120bjy
10.1021/om400463r,10.5517/cc120bgw
10.1021/om400463r,10.5517/cc120bhx
10.1002/anie.201600694,10.5517/ccdc.csd.cc1km26g
10.1002/anie.201600694,10.5517/ccdc.csd.cc1km25f
10.1039/c2ce26790j,10.5517/ccym2f1
10.1039/c5qi00076a,10.5517/cc1j10xh
10.1039/c5qi00076a,10.5517/cc1j10yj
10.1039/c5qi00076a,10.5517/cc1j10wg
10.1039/b407126c,10.5517/cc800lv
10.1039/b407126c,10.5517/cc800mw
10.1039/b205157p,10.5517/cc68fzv
10.1140/epjc/s10052-012-2100-4,10.17182/hepdata.72881.v1
10.1140/epjc/s10052-012-2100-4,10.17182/hepdata.72881
10.1140/epjc/s10052-012-2100-4,10.17182/hepdata.72161
10.1140/epjc/s10052-012-2100-4,10.17182/hepdata.72161.v1
10.1140/epjc/s10052-015-3628-x,10.17182/hepdata.69299
10.1140/epjc/s10052-015-3628-x,10.17182/hepdata.68635.v1
10.1140/epjc/s10052-015-3628-x,10.17182/hepdata.69299.v1
10.1002/chem.201501498,10.5517/ccdc.csd.cc14dm5b
10.1002/chem.201501498,10.5517/cc14jfjm
